date,pm25,aqi
6/15/2018,31,0
6/16/2018,34,0
6/17/2018,0,0
6/18/2018,23,0
6/19/2018,37,0
6/20/2018,54,0
6/21/2018,52,0
6/22/2018,69,0
6/23/2018,59,0
6/24/2018,78,0
6/25/2018,99,0
6/26/2018,95,0
6/27/2018,76,0
6/28/2018,48,0
6/29/2018,39,0
6/30/2018,36,0
7/1/2018,40,0
7/2/2018,24,0
7/3/2018,57,0
7/4/2018,54,0
7/5/2018,55,0
7/6/2018,51,0
7/7/2018,55,0
7/8/2018,57,0
7/9/2018,84,0
7/10/2018,98,0
7/11/2018,81,0
7/12/2018,59,0
7/13/2018,56,0
7/14/2018,102,0
7/15/2018,102,0
7/16/2018,118,0
7/17/2018,100,0
7/18/2018,89,0
7/19/2018,84,0
7/20/2018,89,0
7/21/2018,86,0
7/22/2018,72,0
7/23/2018,56,0
7/24/2018,44,0
7/25/2018,50,0
7/26/2018,106,0
7/27/2018,53,0
7/28/2018,66,0
7/29/2018,69,0
7/30/2018,62,0
7/31/2018,110,0
8/1/2018,103,0
8/2/2018,91,0
8/3/2018,101,0
8/4/2018,108,0
8/5/2018,101,0
8/6/2018,69,0
8/7/2018,91,0
8/8/2018,91,0
8/9/2018,50,0
8/10/2018,42,0
8/11/2018,46,0
8/12/2018,59,0
8/13/2018,57,0
8/14/2018,73,0
8/15/2018,78,0
8/16/2018,80,0
8/17/2018,83,0
8/18/2018,77,0
8/19/2018,78,0
8/20/2018,74,0
8/21/2018,47,0
8/22/2018,53,0
8/23/2018,77,0
8/24/2018,90,0
8/25/2018,73,0
8/26/2018,58,0
8/27/2018,31,0
8/28/2018,38,0
8/29/2018,48,0
8/30/2018,99,0
8/31/2018,68,0
9/1/2018,93,0
9/2/2018,79,0
9/3/2018,67,0
9/4/2018,91,0
9/5/2018,82,0
9/6/2018,61,0
9/7/2018,77,0
9/8/2018,91,0
9/9/2018,57,0
9/10/2018,76,0
9/11/2018,52,0
9/12/2018,74,0
9/13/2018,93,0
9/14/2018,80,0
9/15/2018,80,0
9/16/2018,67,0
9/17/2018,64,0
9/18/2018,105,0
9/19/2018,112,0
9/20/2018,104,0
9/21/2018,121,0
9/22/2018,86,0
9/23/2018,98,0
9/24/2018,77,0
9/25/2018,91,0
9/26/2018,111,0
9/27/2018,100,0
9/28/2018,79,0
9/29/2018,60,0
9/30/2018,62,0
10/1/2018,50,0
10/2/2018,32,0
10/3/2018,42,0
10/4/2018,52,0
10/5/2018,53,0
10/6/2018,55,0
10/7/2018,56,0
10/8/2018,57,0
10/9/2018,44,0
10/10/2018,32,0
10/11/2018,41,0
10/12/2018,49,0
10/13/2018,59,0
10/14/2018,58,0
10/15/2018,50,0
10/16/2018,49,0
